Date,Open,High,Low,Close,Volume,Name
1/3/2024,39.69,41.22,38.79,40.91,24232729,AABA
1/4/2024,41.22,41.9,40.77,40.97,20553479,AABA
1/5/2024,40.93,41.73,40.85,41.53,12829610,AABA
1/6/2024,42.88,43.57,42.8,43.21,29422828,AABA
1/9/2024,43.1,43.66,42.82,43.42,16268338,AABA
1/10/2024,42.96,43.34,42.34,42.98,16288580,AABA
1/11/2024,42.19,42.31,41.72,41.87,26192772,AABA
1/12/2024,41.92,41.99,40.76,40.89,18921686,AABA
1/13/2024,41,41.08,39.62,39.9,30966185,AABA
1/17/2024,39.09,40.39,38.96,40.11,42429911,AABA
1/18/2024,35.01,36.16,34.74,35.18,118670393,AABA
1/19/2024,35.82,35.84,34.24,34.33,60918436,AABA
1/20/2024,34.44,34.66,33.21,33.74,57681688,AABA
1/23/2024,34.22,34.4,33.98,34.17,30894265,AABA
1/24/2024,34.55,35.2,34.51,34.87,31686324,AABA